name,address,url,price_category,likes,rating,api
NOMO SOHO,"9 Crosby Street, New York",,3,,8.4,google
Artichoke Basille's Pizza,"111 MacDougal Street, New York",,2,,8.8,google
Gilligan's,"310 West Broadway, New York",,3,,8.2,google
Lombardi's,"32 Spring Street, New York",,2,,8.2,google
City Winery,"155 Varick Street, New York",,3,,8.6,google
Cipriani Downtown,"376 West Broadway, New York",,4,,8.4,google
Carbone,"181 Thompson Street, New York",,3,,8.8,google
Boqueria,"171 Spring Street, New York",,2,,8.8,google
Macao Trading Co,"311 Church Street, New York",,3,,9.0,google
La Esquina - SoHo,"114 Kenmare Street, New York",,2,,8.4,google
Tacombi,"267 Elizabeth Street, New York",,2,,8.8,google
Shuka,"38 MacDougal Street, New York",,2,,9.0,google
Lure Fishbar,"142 Mercer Street, New York",,3,,8.8,google
The Mercer Kitchen,"99 Prince Street, New York",,3,,8.2,google
Bubby's,"120 Hudson Street, New York",,2,,8.8,google
Katra Lounge & Event Space,"217 Bowery, New York",,2,,7.8,google
Palma,"28 Cornelia Street, New York",,3,,9.2,google
Le Souk,"510 LaGuardia Place, New York",,3,,7.6,google
Pravda New York,"281 Lafayette Street, New York",,2,,7.8,google
Rubirosa Ristorante,"235 Mulberry Street, New York",,2,,9.2,google
Café Habana,"17 Prince Street, New York",,2,,8.8,google
Dos Caminos,"475 West Broadway, New York",,2,,7.8,google
Osteria Morini,"218 Lafayette Street, New York",,3,,8.8,google
Joe's Pizza,"7 Carmine Street, New York",,1,,9.0,google
The Taco Shop,"166 West 4th Street, New York",,4,,8.4,google
Ferrara Bakery & Cafe,"195 Grand Street, New York",,2,,8.8,google
Ed's Lobster Bar,"222 Lafayette Street, New York",,2,,8.8,google
Locanda Verde,"377 Greenwich Street, New York",,3,,9.0,google
Wolfgang's Steakhouse,"409 Greenwich Street, New York",,4,,9.0,google
Brandy Library,"25 North Moore Street, New York",,3,,9.2,google
John's of Bleecker St.,"278 Bleecker Street, New York",,2,,9.2,google
Le Pain Quotidien,"100 Grand Street, New York",,2,,8.2,google
Murray's Cheese,"254 Bleecker Street, New York",,2,,9.4,google
Il Buco Alimentari & Vineria,"53 Great Jones Street, New York",,3,,9.0,google
Chipotle Mexican Grill,"200 Varick Street Frnt B, New York",,1,,7.8,google
Eileen's Special Cheesecake,"17 Cleveland Place, New York",,2,,9.2,google
Off the Wagon,"109 MacDougal Street, New York",,2,,8.4,google
The Bowery Hotel,"335 Bowery, New York",,3,,9.0,google
Mamoun's Falafel,"119 MacDougal Street, New York",,1,,9.0,google
il Buco,"47 Bond Street, New York",,3,,8.8,google
