name,address,url,price_category,likes,rating,api
Rice kitchen,"204 Spring St, New York, NY 10012",https://www.yelp.com/biz/rice-kitchen-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Dame,"85 MacDougal St, New York, NY 10012",https://www.yelp.com/biz/dame-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,9.0,yelp
BoCaphe,"222 Lafayette St, New York, NY 10012",https://www.yelp.com/biz/bocaph%C3%AA-new-york-3?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Boqueria Soho,"171 Spring St, New York, NY 10012",https://www.yelp.com/biz/boqueria-soho-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Piccola Cucina Osteria,"196 Spring St, New York, NY 10012",https://www.yelp.com/biz/piccola-cucina-osteria-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,9.0,yelp
Haizea,"142 Sullivan St, New York, NY 10012",https://www.yelp.com/biz/haizea-new-york-3?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Jane,"100 W Houston St, New York, NY 10012",https://www.yelp.com/biz/jane-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Jack's Wife Freda,"224 Lafayette St, New York, NY 10012",https://www.yelp.com/biz/jacks-wife-freda-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
Berimbau Brazilian Kitchen,"43 Carmine St, New York, NY 10014",https://www.yelp.com/biz/berimbau-brazilian-kitchen-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,,,10.0,yelp
Ground Support,"399 W Broadway, New York, NY 10012",https://www.yelp.com/biz/ground-support-new-york?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$,,8.0,yelp
SUGARFISH by sushi nozawa,"202 Spring St, New York, NY 10012",https://www.yelp.com/biz/sugarfish-by-sushi-nozawa-new-york-2?adjust_creative=QTBdqVeqAPWau-8e65zm_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=QTBdqVeqAPWau-8e65zm_A,$$,,8.0,yelp
